数据名,仓库相对路径,源URL,字节数,SHA256,字段,年份,时间粒度,许可证,核验状态,用途,缺口
EAGLE-I county outage panel (target y),data/interim/panel_2020-02-06.npz,https://doi.org/10.13139/ORNLNCCS/1975202,136659,9b5f3e3babcfed537b18824606750c0703631d2d4f4169bb6171c65a612dba62,"y,observed,denominator,fips,ts",2020,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,844 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2020-02-06.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),1110227,30efbd65e11194ee91efcb6bc59ccf6463cd3fd3c5a57505cb3105cb12d5c082,"X[C,169,12], channels, fips, ts",2020,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 163/326 counties all-zero in all channels and hours,Task A input x,"163 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2020-08-04.npz,https://doi.org/10.13139/ORNLNCCS/1975202,318310,05da275d71284dca3adc74648bfa5df6385a67d954de22f594f0fb63ea809716,"y,observed,denominator,fips,ts",2020,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,157 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2020-08-04.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),622866,b4b0a62b2e72e7758a7a4c20cfc5ce7ce3f4e47f5759a6b91e52811e51c5369d,"X[C,169,12], channels, fips, ts",2020,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 124/213 counties all-zero in all channels and hours,Task A input x,"124 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2020-10-29.npz,https://doi.org/10.13139/ORNLNCCS/1975202,270458,de5863bf9b09b16f86c1902b66d900be700b3eb913f5bff2b946190158a4728f,"y,observed,denominator,fips,ts",2020,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,1522 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2020-10-29.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),916506,e0eae56395bc1022d2a35543c73a8b7e35e1e36b0a92d4696325043fd53628cb,"X[C,169,12], channels, fips, ts",2020,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 100/240 counties all-zero in all channels and hours,Task A input x,"100 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2021-02-15.npz,https://doi.org/10.13139/ORNLNCCS/1975202,465357,03a3b4e7176b325f94d51f68e36afe4cfb468721efe78064fb78afcab88953fc,"y,observed,denominator,fips,ts",2021,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,3657 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2021-02-15.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),3646801,85d77ca7ae53b7eff5c722f8e9784a1babc11d66d7108b3ec485f541485b2290,"X[C,169,12], channels, fips, ts",2021,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 307/810 counties all-zero in all channels and hours,Task A input x,"307 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2021-05-04.npz,https://doi.org/10.13139/ORNLNCCS/1975202,195572,247fe074bcea5ac8610140cd094e710ce4e8360c46ead49b978485888de4b7a2,"y,observed,denominator,fips,ts",2021,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,7697 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2021-05-04.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),2247807,4ba12ff8a2257309ad4bfb06da338432d628a6aeea02c42084373bf5063fee1b,"X[C,169,12], channels, fips, ts",2021,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 0/344 counties all-zero in all channels and hours,Task A input x,"0 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2021-06-21.npz,https://doi.org/10.13139/ORNLNCCS/1975202,169512,e687b4ae4157261e6e7e7ec9e503190e483438974bfcb72ab33fc87e7e8867d5,"y,observed,denominator,fips,ts",2021,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,380 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2021-06-21.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),1703493,250124a6c4f50978668df73c7bd53c17f03b61b515b1136520202d4a59f49f3e,"X[C,169,12], channels, fips, ts",2021,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 0/256 counties all-zero in all channels and hours,Task A input x,"0 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2021-08-11.npz,https://doi.org/10.13139/ORNLNCCS/1975202,260212,460af29ad9e572e2567a7258eaff24b8416bc320a2e9b6ecfdb395e6d1cf2cfb,"y,observed,denominator,fips,ts",2021,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,1299 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2021-08-11.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),1713261,57a549bb3d12f70562d4b394cc9cf36b08dc2961c560342294b3729b90c8ed0f,"X[C,169,12], channels, fips, ts",2021,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 0/253 counties all-zero in all channels and hours,Task A input x,"0 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2021-12-11.npz,https://doi.org/10.13139/ORNLNCCS/1975202,125370,a18cd098c78dd1c28fd090716ea876529d9835462dc90179edbb405d49a5d24b,"y,observed,denominator,fips,ts",2021,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,2253 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2021-12-11.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),1611620,a2d11616fe676f6e2eb0a8425599b8bf93b3db80b787cb8a336d4faf2982c089,"X[C,169,12], channels, fips, ts",2021,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 0/256 counties all-zero in all channels and hours,Task A input x,"0 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2021-12-15.npz,https://doi.org/10.13139/ORNLNCCS/1975202,137813,4e832bf97f70fae78ccc3e1a658cadb1eb4541549effc4a460ac56e93a8f1294,"y,observed,denominator,fips,ts",2021,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,878 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2021-12-15.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),450988,db78bea041510eff1a737cf076773f62d534818259fb94275999602fd922aaeb,"X[C,169,12], channels, fips, ts",2021,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 291/361 counties all-zero in all channels and hours,Task A input x,"291 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2022-01-16.npz,https://doi.org/10.13139/ORNLNCCS/1975202,223568,36746aed1a3d251a4617782e98383bbc7d5a7c9a351f87a8e542a1d960d8c40e,"y,observed,denominator,fips,ts",2022,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,966 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2022-01-16.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),2961616,5618cc77969b915bce337ab875313592ac327e6559e3807e7396348e64097300,"X[C,169,12], channels, fips, ts",2022,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 121/556 counties all-zero in all channels and hours,Task A input x,"121 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2022-03-12.npz,https://doi.org/10.13139/ORNLNCCS/1975202,164933,e94bd7cf0b3ef141eedb94189e5803324124160f864a413686a51aac80074256,"y,observed,denominator,fips,ts",2022,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,1182 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2022-03-12.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),2543471,c3753d721b6ee1a72d85c602bc7ffbb68609724a584a179de1b75b8ce3033265,"X[C,169,12], channels, fips, ts",2022,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 145/536 counties all-zero in all channels and hours,Task A input x,"145 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2022-04-13.npz,https://doi.org/10.13139/ORNLNCCS/1975202,105621,b7c5a608c42d8b2bede92404ea4e34273fc0ff59cb60dc6573018db342988421,"y,observed,denominator,fips,ts",2022,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,646 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2022-04-13.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),1388612,155c558cab999247691f47a53da0fdc40f3354a77e4808ef5c24e650136195c7,"X[C,169,12], channels, fips, ts",2022,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 0/207 counties all-zero in all channels and hours,Task A input x,"0 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2022-06-08.npz,https://doi.org/10.13139/ORNLNCCS/1975202,85123,b776298e8a173aafc33cb65e5610de43570251baf40d90e5522640d1476d1702,"y,observed,denominator,fips,ts",2022,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,270 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2022-06-08.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),1247549,c2463ae53931d9b63798a044076e6a2a598c97eadc3af2b6679a8d0c88509cd5,"X[C,169,12], channels, fips, ts",2022,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 0/183 counties all-zero in all channels and hours,Task A input x,"0 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2022-06-17.npz,https://doi.org/10.13139/ORNLNCCS/1975202,250167,67bea2fcbdd78c890b187eab222d60fe3b7e20c34bed0c4ba40ed26615e2030c,"y,observed,denominator,fips,ts",2022,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,2167 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2022-06-17.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),2287211,c7a469809f622126afbf2eb71cab221a46047dd0630baf1d3fd59e77f4e38e29,"X[C,169,12], channels, fips, ts",2022,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 0/356 counties all-zero in all channels and hours,Task A input x,"0 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2022-07-23.npz,https://doi.org/10.13139/ORNLNCCS/1975202,115814,de6756c1633389fabe1a13cebd7680298672db2359ed3aea810428daf2679138,"y,observed,denominator,fips,ts",2022,15 min (states taken as exact UTC hourly snapshots y[4h]),CC BY 4.0,"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,550 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2022-07-23.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),1255089,2b1f5a2fa1d2620fdae5be7377af86a8ebef1ae476ef534442055cf2926d25b6,"X[C,169,12], channels, fips, ts",2022,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 0/186 counties all-zero in all channels and hours,Task A input x,"0 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2024-01-09.npz,https://doi.org/10.13139/OLCF/2500278,182170,eda30ff60aed815f7aa8f95c00552407f2f017a56048118b8ea29fb7584946bc,"y,observed,denominator,fips,ts",2024,15 min (states taken as exact UTC hourly snapshots y[4h]),EAGLE-I 2024 release (reuse restrictions: none),"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,0 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2024-01-09.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),784889,f1a34be7ffb657c9714df133ec530779909b03ded9b2b18349a923d5af100148,"X[C,169,12], channels, fips, ts",2024,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 119/240 counties all-zero in all channels and hours,Task A input x,"119 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2024-01-12.npz,https://doi.org/10.13139/OLCF/2500278,253045,c09ebe4b663aa114491894d71cfd2697eed0a1953b207045e465808910995fc1,"y,observed,denominator,fips,ts",2024,15 min (states taken as exact UTC hourly snapshots y[4h]),EAGLE-I 2024 release (reuse restrictions: none),"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,0 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2024-01-12.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),2053990,015344c31c5b4026ee7bdc094807d6e2bc68c5fefed5bf358653608cf428821f,"X[C,169,12], channels, fips, ts",2024,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 288/578 counties all-zero in all channels and hours,Task A input x,"288 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2024-05-08.npz,https://doi.org/10.13139/OLCF/2500278,123868,327252878739ce0f3d7ded43f99b7aba720c0b54da4fb78b43b1289f3f240e2a,"y,observed,denominator,fips,ts",2024,15 min (states taken as exact UTC hourly snapshots y[4h]),EAGLE-I 2024 release (reuse restrictions: none),"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,0 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2024-05-08.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),1120838,119164236452ade7ec4e5392db5709811a4a6f80e4929657196b3d8be21a538e,"X[C,169,12], channels, fips, ts",2024,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 70/236 counties all-zero in all channels and hours,Task A input x,"70 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2024-05-26.npz,https://doi.org/10.13139/OLCF/2500278,267582,b079fd6a8449be6cad744c3ea4e1db18b3d824f6b8c4376be8361b64a96ecab7,"y,observed,denominator,fips,ts",2024,15 min (states taken as exact UTC hourly snapshots y[4h]),EAGLE-I 2024 release (reuse restrictions: none),"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,0 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2024-05-26.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),1753209,a0ac8548385e48c4cf2349135eba02e32406ac6a6257af6cf3e3562a6d0e29f5,"X[C,169,12], channels, fips, ts",2024,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 82/339 counties all-zero in all channels and hours,Task A input x,"82 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
EAGLE-I county outage panel (target y),data/interim/panel_2024-06-26.npz,https://doi.org/10.13139/OLCF/2500278,146615,c475db7732e1ef49f66e7d45d701f2168e1b0ad55b74008f3fdc553a605170da,"y,observed,denominator,fips,ts",2024,15 min (states taken as exact UTC hourly snapshots y[4h]),EAGLE-I 2024 release (reuse restrictions: none),"PASS: SHA256SUMS + byte audit (shape, time grid, FIPS order, denominator>0, observed y in [0,1])",Task A target,0 observed=True cells with non-finite y (treated illegal); observed zeros partly from densification rule; fixed 2024 customer denominator applied to earlier years
"ERA5 county driver series (derived, input x)",data/interim/drivers_2024-06-26.npz,https://cds.climate.copernicus.eu (ERA5 single levels; scripts/fetch_era5.py + scripts/build_drivers.py),959468,624c6011d78fd2327faa11b626141021386a8d4f498f436ef38eef4c2ef26b98,"X[C,169,12], channels, fips, ts",2024,hourly,Copernicus licence; derived product with attribution,PASS bytes and grid alignment; SEMANTIC DEFECT: 89/230 counties all-zero in all channels and hours,Task A input x,"89 counties have no county-to-grid mapping encoded as zero (excluded, never zero-fed); temporal gaps were interpolated bidirectionally at build time"
