gamma,law,n_per_scene,seed,calibration_delta_mean,calibration_delta_se,near_tie_abs_delta_below_2se,selected,test_selected,test_always_NET,test_always_ASYM,test_better_of_two,selected_equals_test_better
0.04,0,128,7205,1.5387720108487695e-06,5.014205527630842e-07,False,ASYM,0.00011749421306262776,0.00011865751817904836,0.00011749421306262776,0.00011749421306262776,True
0.04,0,512,7201,-4.6524559701074014e-07,7.629079014862697e-07,True,NET,0.00012103082847671605,0.00012103082847671605,0.00012110486972284383,0.00012103082847671605,True
0.04,0,512,7202,-6.629975700297072e-07,4.6797269635095075e-07,True,NET,0.00012199576710546628,0.00012199576710546628,0.00012309197054158672,0.00012199576710546628,True
0.04,0,512,7203,8.896597064970516e-07,1.2831683103265115e-07,False,ASYM,0.00012006512378799835,0.00012077108903332382,0.00012006512378799835,0.00012006512378799835,True
0.04,0,512,7204,4.060857084671928e-07,9.961545496921458e-08,False,ASYM,0.00012359603753195434,0.00012402874309931902,0.00012359603753195434,0.00012359603753195434,True
0.04,0,512,7205,-5.3829702837404625e-06,1.4643056287291952e-06,False,NET,0.00011962114971277204,0.00011962114971277204,0.0001266829207632631,0.00011962114971277204,True
0.04,1,32,7201,-1.3566200805688784e-06,7.750312331173835e-07,True,NET,0.00040737871263401047,0.00040737871263401047,0.00040784251554747277,0.00040737871263401047,True
0.04,1,32,7202,-3.246119793705778e-06,7.744925184197798e-07,False,NET,0.00040178665412103875,0.00040178665412103875,0.0004045855143199034,0.00040178665412103875,True
0.04,1,32,7203,6.616813075233097e-06,1.7935359028118665e-06,False,ASYM,0.00040023324550977993,0.0004064240511337459,0.00040023324550977993,0.00040023324550977993,True
0.04,1,32,7204,3.1205877058700557e-06,9.51421526002825e-07,False,ASYM,0.0004082138588299429,0.0004120992516322723,0.0004082138588299429,0.0004082138588299429,True
0.04,1,32,7205,-2.0718360111970924e-06,1.5201966841976853e-06,True,NET,0.0003877376905821802,0.0003877376905821802,0.000389345707968784,0.0003877376905821802,True
0.04,1,128,7201,-1.9951288206717285e-07,7.145970375068791e-07,True,NET,0.0003964818212455641,0.0003964818212455641,0.0003971983185926254,0.0003964818212455641,True
0.04,1,128,7202,-2.4505768356775093e-06,5.2078562184563e-07,False,NET,0.0004001072624845153,0.0004001072624845153,0.00040197219541264484,0.0004001072624845153,True
0.04,1,128,7203,5.032460134538989e-06,7.832491400636763e-07,False,ASYM,0.00039651580267292195,0.0004014586300662092,0.00039651580267292195,0.00039651580267292195,True
0.04,1,128,7204,1.672063009531636e-07,1.1032294351297843e-06,True,ASYM,0.0004025753800379298,0.00040198252885773636,0.0004025753800379298,0.00040198252885773636,False
0.04,1,128,7205,3.3468197611815262e-06,1.5434638661823297e-06,False,ASYM,0.00038841456382421427,0.0003917063081174495,0.00038841456382421427,0.00038841456382421427,True
0.04,1,512,7201,6.733647734217622e-07,7.809564709224286e-07,True,ASYM,0.0003971997154417189,0.00039746848232063997,0.0003971997154417189,0.0003971997154417189,True
0.04,1,512,7202,2.049749742087196e-06,1.5956116268960044e-06,True,ASYM,0.0003989686168621137,0.000403047628031568,0.0003989686168621137,0.0003989686168621137,True
0.04,1,512,7203,-3.7981612983628565e-06,1.2978496302479824e-06,False,NET,0.000395869516965394,0.000395869516965394,0.0004001472811425973,0.000395869516965394,True
0.04,1,512,7204,9.586756624102577e-07,1.1109397023594175e-06,True,ASYM,0.00039834917522421756,0.000398826115309808,0.00039834917522421756,0.00039834917522421756,True
0.04,1,512,7205,6.509564540735369e-06,1.5360899079324068e-06,False,ASYM,0.0003855459019772114,0.0003918925913541183,0.0003855459019772114,0.0003855459019772114,True
0.04,2,32,7201,2.3576913864786775e-05,5.818724474345873e-06,False,ASYM,0.003563158955653699,0.0035819105672727732,0.003563158955653699,0.003563158955653699,True
0.04,2,32,7202,3.18001314028038e-05,4.68063149383405e-06,False,ASYM,0.003617464962616596,0.0036416967746639647,0.003617464962616596,0.003617464962616596,True
0.04,2,32,7203,-7.054143888278001e-07,9.67462594890234e-06,True,NET,0.003619950198401357,0.003619950198401357,0.0036139986157846878,0.0036139986157846878,False
0.04,2,32,7204,5.096146376123064e-05,4.127834313779559e-06,False,ASYM,0.003622978981975095,0.003676167501674935,0.003622978981975095,0.003622978981975095,True
0.04,2,32,7205,2.495082660184759e-05,6.939929095206779e-06,False,ASYM,0.003669191053884231,0.003703638390521955,0.003669191053884231,0.003669191053884231,True
0.04,2,128,7201,6.056993936927786e-06,3.419170998780078e-06,True,ASYM,0.0035541799257823386,0.0035607286713997127,0.0035541799257823386,0.0035541799257823386,True
0.04,2,128,7202,5.680407348407357e-05,1.3007836294431933e-05,False,ASYM,0.0035481978715458987,0.0036028718311180933,0.0035481978715458987,0.0035481978715458987,True
0.04,2,128,7203,1.165891620757975e-05,6.693322962497404e-06,True,ASYM,0.0035733419756317345,0.0035733356827915065,0.0035733419756317345,0.0035733356827915065,False
0.04,2,128,7204,-6.092889143497852e-05,1.6303068579340252e-05,False,NET,0.0035416284047148153,0.0035416284047148153,0.0035890381292970294,0.0035416284047148153,True
0.04,2,128,7205,-2.884658285277434e-06,3.9244406705357555e-06,True,NET,0.0035298268430210087,0.0035298268430210087,0.003528458104036266,0.003528458104036266,False
0.04,2,512,7201,2.3428588647789184e-05,1.293584837404199e-05,True,ASYM,0.003543409187166774,0.0035628754476263297,0.003543409187166774,0.003543409187166774,True
0.04,2,512,7202,4.1403969343415765e-06,6.99463104646911e-06,True,ASYM,0.003538545458604745,0.003542146722963614,0.003538545458604745,0.003538545458604745,True
0.04,2,512,7203,-7.335833781022909e-06,4.035370366117203e-06,True,NET,0.003564466769850226,0.003564466769850226,0.0035602953618229325,0.0035602953618229325,False
0.04,2,512,7204,1.5503561552184426e-05,8.075744645377301e-06,True,ASYM,0.003543934540514564,0.00356931895699348,0.003543934540514564,0.003543934540514564,True
0.04,2,512,7205,-5.023465015341344e-05,1.411626686503413e-05,False,NET,0.0035326026106789303,0.0035326026106789303,0.0035648804714669053,0.0035326026106789303,True
