gamma,law,n_per_scene,seed,model,update,val_path_mse,train_loss_ema
0.04,1,128,7201,NET,2250,0.0004006744641931886,0.04155905469754699
0.04,1,128,7201,NET,2500,0.0003926226375016052,0.04022395661573526
0.04,1,512,7201,NET,0,0.010312330403727197,
0.04,1,512,7201,NET,250,0.00040862626381183944,0.051776018381022006
0.04,1,512,7201,NET,500,0.0003961813614536875,0.0407183240174359
0.04,1,512,7201,NET,750,0.00039627261656541724,0.040603867300013675
0.04,1,512,7201,NET,1000,0.0003995086064523037,0.04135201950655984
0.04,1,512,7201,NET,1250,0.0003946579562158763,0.04116867104951319
0.04,1,512,7201,NET,1500,0.0004035419507530673,0.04090177794420288
0.04,1,512,7201,NET,1750,0.00039485840096842675,0.04125081405491385
0.04,1,512,7201,NET,2000,0.0004024544140483653,0.04092506633608092
0.04,1,512,7201,NET,2250,0.00039915145406538245,0.0407396185736484
0.04,1,512,7201,NET,2500,0.00039283137618406416,0.04098937855382877
0.04,2,32,7201,NET,0,0.013268271711786702,
0.04,2,32,7201,NET,250,0.0036148541148536325,0.23516875116737787
0.04,2,32,7201,NET,500,0.003504677236399603,0.22578370858635757
0.04,2,32,7201,NET,750,0.0035170477286973322,0.22799845301668134
0.04,2,32,7201,NET,1000,0.003524205410725508,0.22633773407294533
0.04,2,32,7201,NET,1250,0.003492248294840123,0.22860017791018417
0.04,2,32,7201,NET,1500,0.0035515423939449405,0.22708557849747943
0.04,2,32,7201,NET,1750,0.0035164878820664962,0.22551703778573934
0.04,2,32,7201,NET,2000,0.0035125499947672484,0.22681671084815438
0.04,2,32,7201,NET,2250,0.003500060273419887,0.22490588777250553
0.04,2,32,7201,NET,2500,0.00352215465021615,0.2266841416376445
0.04,2,128,7201,NET,0,0.013271804274748417,
0.04,2,128,7201,NET,250,0.0034931864467677848,0.26665969696060454
0.04,2,128,7201,NET,500,0.0035029576745864255,0.2576908428934193
0.04,2,128,7201,NET,750,0.003519371964349913,0.2590138930496407
0.04,2,128,7201,NET,1000,0.0035648000600888258,0.25898194395038465
0.04,2,128,7201,NET,1250,0.003493911124047904,0.259085573855644
0.04,2,128,7201,NET,1500,0.0035320642698955552,0.25859689852499496
0.04,2,128,7201,NET,1750,0.0034976040624475646,0.2603177349721146
0.04,2,128,7201,NET,2000,0.0035267151013882512,0.25715775561345605
0.04,2,128,7201,NET,2250,0.0034866313923060705,0.2574201857807449
0.04,2,128,7201,NET,2500,0.0035013096481837304,0.25813418433729196
0.04,2,512,7201,NET,0,0.013267385866458169,
0.04,2,512,7201,NET,250,0.0034716832543667774,0.27513131256871953
0.04,2,512,7201,NET,500,0.003487511972930469,0.26964872675967
0.04,2,512,7201,NET,750,0.003466965285417349,0.2681214960837343
0.04,2,512,7201,NET,1000,0.0034871627470682374,0.2677411136226928
0.04,2,512,7201,NET,1250,0.0034746633733789265,0.2707470089237751
0.04,2,512,7201,NET,1500,0.0034719880906648845,0.2697570180222317
0.04,2,512,7201,NET,1750,0.0035191214086706113,0.26873079162140967
0.04,2,512,7201,NET,2000,0.003468858599408608,0.26857835234192723
0.04,2,512,7201,NET,2250,0.0034763480577597664,0.26765179753769985
0.04,2,512,7201,NET,2500,0.0034994160623014123,0.26703077994661223
0.0,0,128,7201,NET,0,0.009645778673798702,
0.0,0,128,7201,NET,250,0.00016217265751702323,0.021371289565000638
0.0,0,128,7201,NET,500,0.00011547900388318348,0.011964756442906592
0.0,0,128,7201,NET,750,0.0001154793924438934,0.011924909096893964
0.0,0,128,7201,NET,1000,0.00011506086628632692,0.01202595534816461
0.0,0,128,7201,NET,1250,0.00011643862197803978,0.011920578606531227
0.0,0,128,7201,NET,1500,0.00011745270792003208,0.011974890582215044
0.0,0,128,7201,NET,1750,0.00011491402126725773,0.011857488067975616
0.0,0,128,7201,NET,2000,0.0001154908955307747,0.01184267455395122
0.0,0,128,7201,NET,2250,0.00012050351733957178,0.011877454318028292
0.0,0,128,7201,NET,2500,0.00012035996159338287,0.01192261421159416
0.0,1,128,7201,NET,0,0.009725240215600475,
0.0,1,128,7201,NET,250,0.00039989566123330443,0.03981834037296787
0.0,1,128,7201,NET,500,0.0003860309429852967,0.03110316851867436
0.0,1,128,7201,NET,750,0.00040469882728122464,0.031390161973089
0.0,1,128,7201,NET,1000,0.00038796428365296085,0.03102854572560385
0.0,1,128,7201,NET,1250,0.000387840178045397,0.029984221070707723
0.0,1,128,7201,NET,1500,0.00038730497008698767,0.03105898979423258
0.0,1,128,7201,NET,1750,0.000388990669821108,0.030778305469271416
0.0,1,128,7201,NET,2000,0.00038918639915008524,0.030748929270078565
0.0,1,128,7201,NET,2250,0.0003942176146359756,0.030944956407927715
0.0,1,128,7201,NET,2500,0.00038629381279068064,0.030083030778125883
0.0,2,128,7201,NET,0,0.012785168126562017,
0.0,2,128,7201,NET,250,0.00333963844573004,0.27326459647568624
0.0,2,128,7201,NET,500,0.003380378651919583,0.2665980874059331
0.0,2,128,7201,NET,750,0.003336397686753499,0.26553810280231
0.0,2,128,7201,NET,1000,0.003360370752267154,0.26686922993871265
0.0,2,128,7201,NET,1250,0.0033507532794427174,0.2669412015127226
0.0,2,128,7201,NET,1500,0.0033859905714595634,0.26551873896319517
0.0,2,128,7201,NET,1750,0.0033589127236951766,0.2662867004623793
0.0,2,128,7201,NET,2000,0.0033639343442137606,0.2663670208464989
0.0,2,128,7201,NET,2250,0.0033496031970850575,0.26728517545454866
0.0,2,128,7201,NET,2500,0.0033619696080923835,0.2665542369360696
0.04,0,32,7202,NET,0,0.010020247114925536,
0.04,0,32,7202,NET,250,0.000178009608180672,0.0242935803855653
0.04,0,32,7202,NET,500,0.00012853366264062045,0.011717842934544573
0.04,0,32,7202,NET,750,0.00011881641710206397,0.011649351216655725
0.04,0,32,7202,NET,1000,0.00012113005326724303,0.011778363750525916
0.04,0,32,7202,NET,1250,0.0001234718052660997,0.011570550730707644
0.04,0,32,7202,NET,1500,0.0001226195180367209,0.011687056270445955
0.04,0,32,7202,NET,1750,0.00012017970184816989,0.011520636409211757
0.04,0,32,7202,NET,2000,0.00012568773034167175,0.011512274639146954
0.04,0,32,7202,NET,2250,0.0001268391124634727,0.011628466497486497
0.04,0,32,7202,NET,2500,0.00012135816583210971,0.011629578192522864
0.04,0,128,7202,NET,0,0.010020162784580193,
0.04,0,128,7202,NET,250,0.00012002133960345024,0.022250876697296012
0.04,0,128,7202,NET,500,0.00011976584812800635,0.013069092752740834
0.04,0,128,7202,NET,750,0.00012138398918952902,0.0130704238762377
0.04,0,128,7202,NET,1000,0.00012264298949638864,0.013746621707593465
0.04,0,128,7202,NET,1250,0.00011837862185324606,0.012993215485178455
0.04,0,128,7202,NET,1500,0.0001222684387090411,0.012978379244247348
0.04,0,128,7202,NET,1750,0.00012003743342504301,0.012920634761619167
0.04,0,128,7202,NET,2000,0.00012049452407579917,0.012809371208780734
0.04,0,128,7202,NET,2250,0.00011917580704295636,0.012931220150479079
0.04,0,128,7202,NET,2500,0.00011771336547258342,0.01300295016717522
0.04,0,512,7202,NET,0,0.010020103681385848,
0.04,0,512,7202,NET,250,0.00012388636245592443,0.02084552317400934
0.04,0,512,7202,NET,500,0.00011719106513386592,0.012063783380592915
0.04,0,512,7202,NET,750,0.00011733793705169364,0.012217223080540964
0.04,0,512,7202,NET,1000,0.00012044105529986563,0.012222582108851372
0.04,0,512,7202,NET,1250,0.00012016301496403582,0.012148343948736413
0.04,0,512,7202,NET,1500,0.00011999673261357809,0.012843723916987524
0.04,0,512,7202,NET,1750,0.00012160254248937321,0.012309873694000953
0.04,0,512,7202,NET,2000,0.00012096738860537474,0.012178338935490857
0.04,0,512,7202,NET,2250,0.00011752520128449542,0.01197071206974617
0.04,0,512,7202,NET,2500,0.00011681404323637724,0.012126145568733177
0.04,1,32,7202,NET,0,0.010326477417424724,
0.04,1,32,7202,NET,250,0.000406656589765965,0.052295732448916984
0.04,1,32,7202,NET,500,0.00040080147930321745,0.0434596174435834
0.04,1,32,7202,NET,750,0.00040313074340974373,0.04313693624326061
0.04,1,32,7202,NET,1000,0.0004019249736171289,0.04231946215557376
0.04,1,32,7202,NET,1250,0.00040109864091141716,0.04250394993063016
0.04,1,32,7202,NET,1500,0.0004068548065755883,0.04265978607038517
0.04,1,32,7202,NET,1750,0.00039678750270380464,0.042950398911654995
0.04,1,32,7202,NET,2000,0.0004112309922479431,0.043028380046295736
0.04,1,32,7202,NET,2250,0.00040164554920728393,0.04266900939793348
0.04,1,32,7202,NET,2500,0.0003964408554824601,0.04269283482690486
0.04,1,128,7202,NET,0,0.010326432786051686,
0.04,1,128,7202,NET,250,0.00040599022412803027,0.052642009694431044
0.04,1,128,7202,NET,500,0.0003939646106781499,0.044312792990993846
0.04,1,128,7202,NET,750,0.0003990523740657605,0.045595839671989345
0.04,1,128,7202,NET,1000,0.00039573735599272657,0.04442037873866291
0.04,1,128,7202,NET,1250,0.0003933270609742426,0.043559649811877856
0.04,1,128,7202,NET,1500,0.000411627510014375,0.0446838750948921
0.04,1,128,7202,NET,1750,0.0003938081894941264,0.045160656046492845
0.04,1,128,7202,NET,2000,0.0003927498894386062,0.042388407520149496
0.04,1,128,7202,NET,2250,0.0003973735409053649,0.0435751069365478
0.04,1,128,7202,NET,2500,0.00039386213931822176,0.04482468897791594
0.04,1,512,7202,NET,0,0.010326573907707054,
0.04,1,512,7202,NET,250,0.00039509674649784786,0.0460168803763129
0.04,1,512,7202,NET,500,0.0003924974819924012,0.03810175685888628
0.04,1,512,7202,NET,750,0.00040092429450866457,0.03674131841589659
0.04,1,512,7202,NET,1000,0.00040965115508453763,0.0368191393719161
0.04,1,512,7202,NET,1250,0.00039321287082025964,0.036605798723070945
0.04,1,512,7202,NET,1500,0.00039417241499369146,0.03676132303958423
0.04,1,512,7202,NET,1750,0.00039638472549446995,0.038322320869264195
0.04,1,512,7202,NET,2000,0.0003924600582265317,0.03727571267436714
0.04,1,512,7202,NET,2250,0.0003967171998829979,0.03632190066617045
0.04,1,512,7202,NET,2500,0.0003940432266834727,0.037208354676151585
0.04,2,32,7202,NET,0,0.013900689571547295,
0.04,2,32,7202,NET,250,0.0038110753694205047,0.29004347267489217
0.04,2,32,7202,NET,500,0.0038596931707712955,0.2824760355439562
0.04,2,32,7202,NET,750,0.003782700964460012,0.2851341416752284
0.04,2,32,7202,NET,1000,0.003786568782965131,0.2825345627400616
0.04,2,32,7202,NET,1250,0.0038052939494188534,0.28353122154867555
0.04,2,32,7202,NET,1500,0.00380798767218804,0.2825319963688219
0.04,2,32,7202,NET,1750,0.0037821166498885474,0.2842146721561835
0.04,2,32,7202,NET,2000,0.0037221283323495506,0.2811168045359214
0.04,2,32,7202,NET,2250,0.0037679627569643915,0.282971517938853
0.04,2,32,7202,NET,2500,0.0037907777408440484,0.2836751174176625
0.04,2,128,7202,NET,0,0.013900220873709982,
0.04,2,128,7202,NET,250,0.003820405396020248,0.28190321035342075
0.04,2,128,7202,NET,500,0.0037287599652029283,0.2719822862713116
0.04,2,128,7202,NET,750,0.0037050590449633617,0.27201846701706317
0.04,2,128,7202,NET,1000,0.0036933046212357,0.2707445859372998
0.04,2,128,7202,NET,1250,0.0037056189128058686,0.27165095104890785
0.04,2,128,7202,NET,1500,0.0037499332771595037,0.2735943891095458
0.04,2,128,7202,NET,1750,0.0037181240604440744,0.27263195937707096
0.04,2,128,7202,NET,2000,0.003673465297340705,0.2710625839855052
0.04,2,128,7202,NET,2250,0.0036782825919135773,0.27128516347957665
0.04,2,128,7202,NET,2500,0.0037406294782811995,0.27267550164700466
0.04,2,512,7202,NET,0,0.013899743005241452,
0.04,2,512,7202,NET,250,0.003661660889986609,0.2710994739732097
0.04,2,512,7202,NET,500,0.003654295810135634,0.26322448478656135
0.04,2,512,7202,NET,750,0.0036422783812723285,0.26484390545312014
0.04,2,512,7202,NET,1000,0.0037135869870289994,0.2665101035659924
0.04,2,512,7202,NET,1250,0.003634132156393332,0.2641242433679389
0.04,2,512,7202,NET,1500,0.0036488933546724857,0.26431493857099
0.04,2,512,7202,NET,1750,0.0036305968227584966,0.2645023048183308
0.04,2,512,7202,NET,2000,0.0036487507831269358,0.26476981647708964
0.04,2,512,7202,NET,2250,0.0036739656908972578,0.2639105987809355
0.04,2,512,7202,NET,2500,0.003656967313251188,0.26538233912333586
0.0,0,128,7202,NET,0,0.009488888266414702,
0.0,0,128,7202,NET,250,0.00012321834093801417,0.02122949368006174
0.0,0,128,7202,NET,500,0.00011686865619162085,0.011644167711850614
0.0,0,128,7202,NET,750,0.00012368411093336543,0.011689144411637244
0.0,0,128,7202,NET,1000,0.00012160557442381441,0.011595426049983506
0.0,0,128,7202,NET,1250,0.00012411707926514824,0.011514318066691858
0.0,0,128,7202,NET,1500,0.00011634413915256452,0.011432046108454384
0.0,0,128,7202,NET,1750,0.00011753007845631098,0.011474188498084159
0.0,0,128,7202,NET,2000,0.00011662753901897726,0.011363740992632924
0.0,0,128,7202,NET,2250,0.00011699690058994569,0.011522599901024487
0.0,0,128,7202,NET,2500,0.00011725836960192596,0.011627625616900996
0.0,1,128,7202,NET,0,0.00972697988592427,
0.0,1,128,7202,NET,250,0.00036695590022939876,0.041529416760160476
0.0,1,128,7202,NET,500,0.00036482294384988816,0.03320682184769015
0.0,1,128,7202,NET,750,0.0003625502308664233,0.03281216128609289
0.0,1,128,7202,NET,1000,0.0003631433234462939,0.03352878515280631
0.0,1,128,7202,NET,1250,0.0003671887530647033,0.03331445051125333
0.0,1,128,7202,NET,1500,0.0003634049811223901,0.03241010318804154
0.0,1,128,7202,NET,1750,0.0003635886403190065,0.03199774682158933
0.0,1,128,7202,NET,2000,0.0003624204340999373,0.032746358725521355
0.0,1,128,7202,NET,2250,0.0003612975984046086,0.03128947240656207
0.0,1,128,7202,NET,2500,0.00036636095798908973,0.03202373436609931
0.0,2,128,7202,NET,0,0.012799291311486827,
0.0,2,128,7202,NET,250,0.003390415244310916,0.2612020956420789
0.0,2,128,7202,NET,500,0.0033791564444931115,0.2529761818597238
0.0,2,128,7202,NET,750,0.003371648524584153,0.25292445685578197
0.0,2,128,7202,NET,1000,0.0033993062049863924,0.2566727483657232
0.0,2,128,7202,NET,1250,0.0033965350304391863,0.25435302529909765
0.0,2,128,7202,NET,1500,0.003406918215829105,0.25314477929637247
0.0,2,128,7202,NET,1750,0.0033802662653647357,0.25340293144571846
0.0,2,128,7202,NET,2000,0.003378971148016701,0.25288601132597094
0.0,2,128,7202,NET,2250,0.0033774342114622755,0.25412748179463895
0.0,2,128,7202,NET,2500,0.003399990289913783,0.2537633196479834
0.04,0,32,7203,NET,0,0.009949021161460972,
0.04,0,32,7203,NET,250,0.0001385484936036827,0.023333190162122253
0.04,0,32,7203,NET,500,0.0001437087809345616,0.015308068260558586
0.04,0,32,7203,NET,750,0.00013890591255659747,0.014900206047256375
0.04,0,32,7203,NET,1000,0.00014397009110664655,0.014915862058456545
0.04,0,32,7203,NET,1250,0.0001457323950608809,0.014916453811516059
0.04,0,32,7203,NET,1500,0.0001475545942007953,0.014677586247633238
0.04,0,32,7203,NET,1750,0.000139508616187235,0.014631999415698088
0.04,0,32,7203,NET,2000,0.00015523017810248333,0.014905719603209237
0.04,0,32,7203,NET,2250,0.0001362554672117584,0.014786316809031782
0.04,0,32,7203,NET,2500,0.00013655289192521393,0.014729070857160747
0.04,0,128,7203,NET,0,0.009946856148166532,
0.04,0,128,7203,NET,250,0.00013569155050538025,0.021316051304148834
0.04,0,128,7203,NET,500,0.00013570981977972148,0.012759541351315571
0.04,0,128,7203,NET,750,0.0001409989503160825,0.012788591517167075
0.04,0,128,7203,NET,1000,0.00013880635933137566,0.012798894196230828
0.04,0,128,7203,NET,1250,0.00014373433584918358,0.012914825586715735
0.04,0,128,7203,NET,1500,0.00013776714827653266,0.013197444951311265
0.04,0,128,7203,NET,1750,0.0001387526993715887,0.012825103626853499
0.04,0,128,7203,NET,2000,0.00014245521616856896,0.01283218717176477
0.04,0,128,7203,NET,2250,0.00013895997479319635,0.012545796946584276
0.04,0,128,7203,NET,2500,0.00013489776214162336,0.01275218790654531
0.04,0,512,7203,NET,0,0.009947245143232968,
0.04,0,512,7203,NET,250,0.00013768002871246917,0.02069400026661491
0.04,0,512,7203,NET,500,0.00013783451952538003,0.01234829401669109
0.04,0,512,7203,NET,750,0.0001360188205206778,0.012225774982686727
0.04,0,512,7203,NET,1000,0.00014019926826717782,0.012446754254340902
0.04,0,512,7203,NET,1250,0.00014822138020061985,0.01249433075405832
0.04,0,512,7203,NET,1500,0.00013584245892847644,0.01224670374984805
0.04,0,512,7203,NET,1750,0.000134627935111652,0.012352930371542205
0.04,0,512,7203,NET,2000,0.00013423358156239727,0.012185067566818239
0.04,0,512,7203,NET,2250,0.00013437981274102315,0.012297829188616596
0.04,0,512,7203,NET,2500,0.00013457398095314795,0.012207452748558275
0.04,1,32,7203,NET,0,0.010011210316700504,
0.04,1,32,7203,NET,250,0.00040402346073861235,0.054610667899904396
0.04,1,32,7203,NET,500,0.0004115916647288119,0.045272001417217884
0.04,1,32,7203,NET,750,0.0004195981211618438,0.043650515907411466
0.04,1,32,7203,NET,1000,0.00040443766399346644,0.0434183943181244
0.04,1,32,7203,NET,1250,0.0004180544875661589,0.04467456717123917
0.04,1,32,7203,NET,1500,0.0004077841300990864,0.043445290296319584
0.04,1,32,7203,NET,1750,0.00041766266592378276,0.043354237308719706
0.04,1,32,7203,NET,2000,0.00040373611617441956,0.043897612454416056
0.04,1,32,7203,NET,2250,0.00041070776515062386,0.04400556670377382
0.04,1,32,7203,NET,2500,0.00040568848386078864,0.043805766322660096
0.04,1,128,7203,NET,0,0.010009861506549861,
0.04,1,128,7203,NET,250,0.00040763553089111394,0.05595401247022679
0.04,1,128,7203,NET,500,0.0003940327461214289,0.04783829304550551
0.04,1,128,7203,NET,750,0.00039508443466375874,0.04949571862314023
0.04,1,128,7203,NET,1000,0.0004053332595063224,0.0484345846288395
0.04,1,128,7203,NET,1250,0.00039917084382870446,0.04904429066856492
0.04,1,128,7203,NET,1500,0.00039649297497455527,0.048745894116767795
0.04,1,128,7203,NET,1750,0.00039595054066046584,0.04910465369936456
0.04,1,128,7203,NET,2000,0.0003965969916096446,0.04804536919745504
0.04,1,128,7203,NET,2250,0.0004062202947004169,0.048014991284455674
0.04,1,128,7203,NET,2500,0.0004042206886683194,0.04872257464416084
0.04,1,512,7203,NET,0,0.010010464200952947,
0.04,1,512,7203,NET,250,0.00041544755544007213,0.0522189224408058
0.04,1,512,7203,NET,500,0.00040034043825645256,0.042152609351156584
0.04,1,512,7203,NET,750,0.00043118434565019974,0.042004471757442305
0.04,1,512,7203,NET,1000,0.0003955870762606191,0.04156452278044679
0.04,1,512,7203,NET,1250,0.0003958903102162488,0.041391635941845285
0.04,1,512,7203,NET,1500,0.00041623978186918625,0.042316626358710675
0.04,1,512,7203,NET,1750,0.0003941802778935368,0.04162456773561615
0.04,1,512,7203,NET,2000,0.0003957639595109686,0.041045383339593955
0.04,1,512,7203,NET,2250,0.00039482110999846873,0.04026604433433999
0.04,1,512,7203,NET,2500,0.0003945520968714018,0.04045174483398011
0.04,2,32,7203,NET,0,0.01342919572721219,
0.04,2,32,7203,NET,250,0.00371160127103665,0.28235727690646595
0.04,2,32,7203,NET,500,0.0036583611684174685,0.2758020218199789
0.04,2,32,7203,NET,750,0.0036802936401112377,0.27338262896071336
0.04,2,32,7203,NET,1000,0.003659651210987104,0.2740001476109549
0.04,2,32,7203,NET,1250,0.0036876947346519626,0.27341180731110915
0.04,2,32,7203,NET,1500,0.0036996927886309944,0.2744712741291606
0.04,2,32,7203,NET,1750,0.003723983834664627,0.2729662867830874
0.04,2,32,7203,NET,2000,0.003681459240420294,0.2731246995388637
0.04,2,32,7203,NET,2250,0.0036883486898230977,0.27419138890052835
0.04,2,32,7203,NET,2500,0.0036713450244973823,0.2749340192081663
0.04,2,128,7203,NET,0,0.013432414583078034,
0.04,2,128,7203,NET,250,0.0036241862869273883,0.2748433212274556
0.04,2,128,7203,NET,500,0.003642395604199291,0.2658225840207991
0.04,2,128,7203,NET,750,0.003634794804061222,0.2669112798193056
0.04,2,128,7203,NET,1000,0.0036752692807009075,0.26679326829718125
0.04,2,128,7203,NET,1250,0.0036126152280671147,0.2648797512390658
0.04,2,128,7203,NET,1500,0.003620082588282734,0.26657056105423976
0.04,2,128,7203,NET,1750,0.003620939843907571,0.26741376211684625
0.04,2,128,7203,NET,2000,0.0036306215856098632,0.2652065164555756
0.04,2,128,7203,NET,2250,0.003620470877221138,0.2651767796225507
0.04,2,128,7203,NET,2500,0.0036169356874992554,0.26412467626965574
0.04,2,512,7203,NET,0,0.013434446184282111,
0.04,2,512,7203,NET,250,0.003628655066230429,0.2724397000031577
0.04,2,512,7203,NET,500,0.003633450710682638,0.2665213002747734
0.04,2,512,7203,NET,750,0.0036130382855575007,0.2640105023857964
0.04,2,512,7203,NET,1000,0.003617570256341952,0.2660043855169258
0.04,2,512,7203,NET,1250,0.003611329637744239,0.2650638967260567
0.04,2,512,7203,NET,1500,0.003613984719700676,0.2661140212913639
0.04,2,512,7203,NET,1750,0.0036181797010552395,0.26312629766945356
0.04,2,512,7203,NET,2000,0.0036102940426762423,0.2632696052347951
0.04,2,512,7203,NET,2250,0.0036201889272074145,0.26382684691312613
0.04,2,512,7203,NET,2500,0.0036089432650722123,0.26148033375790086
0.0,0,128,7203,NET,0,0.009313128720939678,
0.0,0,128,7203,NET,250,0.00011802310116012275,0.02047694127050458
0.0,0,128,7203,NET,500,0.00012933178113185375,0.012712176182693408
0.0,0,128,7203,NET,750,0.00011583506725831502,0.012499634672748857
0.0,0,128,7203,NET,1000,0.00012051181990846282,0.01222088124819444
0.0,0,128,7203,NET,1250,0.0001173595498140184,0.012455797330683126
0.0,0,128,7203,NET,1500,0.00012114272090616166,0.0123815765051869
0.0,0,128,7203,NET,1750,0.00011672125146932114,0.012273439567601184
0.0,0,128,7203,NET,2000,0.00011628944388355664,0.012335710860448363
0.0,0,128,7203,NET,2250,0.0001224123611505531,0.01248175317807444
0.0,0,128,7203,NET,2500,0.00011564832281640023,0.012228340701930834
0.0,1,128,7203,NET,0,0.00966426583724352,
0.0,1,128,7203,NET,250,0.0004084601004344884,0.04017183759547658
0.0,1,128,7203,NET,500,0.00040945701897015656,0.03288669536496908
0.0,1,128,7203,NET,750,0.0004090983988267859,0.03200844240687556
0.0,1,128,7203,NET,1000,0.0004122678237469893,0.03164472537118746
0.0,1,128,7203,NET,1250,0.0004076531850596132,0.03173258127377887
0.0,1,128,7203,NET,1500,0.0004129743405271687,0.03211419013144171
0.0,1,128,7203,NET,1750,0.00040964344056654235,0.03152532636972152
0.0,1,128,7203,NET,2000,0.00040792232600759946,0.03224708576907369
0.0,1,128,7203,NET,2250,0.0004122449592499828,0.031804692683619885
0.0,1,128,7203,NET,2500,0.0004107313695160587,0.03238500279349054
0.0,2,128,7203,NET,0,0.012689463860840708,
0.0,2,128,7203,NET,250,0.0033917762492295216,0.27350364850606196
0.0,2,128,7203,NET,500,0.003394279003754566,0.26640069783929776
0.0,2,128,7203,NET,750,0.003417257327736316,0.26924925688283236
0.0,2,128,7203,NET,1000,0.0034337462997222953,0.26709479671255815
0.0,2,128,7203,NET,1250,0.0034040933358252014,0.26745489180157217
0.0,2,128,7203,NET,1500,0.0034145881816649917,0.26951039902364765
0.0,2,128,7203,NET,1750,0.0033856920208460858,0.26473251810219667
0.0,2,128,7203,NET,2000,0.0033914814595230667,0.2647426731492858
0.0,2,128,7203,NET,2250,0.003418869730058269,0.2669769667530948
0.0,2,128,7203,NET,2500,0.0034091404966300927,0.2656052049615624
0.04,0,32,7204,NET,0,0.010121298339809579,
0.04,0,32,7204,NET,250,0.00011681779095857623,0.020106611913435733
0.04,0,32,7204,NET,500,0.00011651043023356971,0.013946026351918502
0.04,0,32,7204,NET,750,0.00012084071027665127,0.011144130126023782
0.04,0,32,7204,NET,1000,0.00011671118805024863,0.01120342127333791
