gamma,law,n_per_scene,seed,delta_test_path_mse,delta_test_path_mse_scene4h,delta_test_path_mse_scene8h,delta_test_path_mse_scene12h,delta_test_mse_1h,delta_test_mse_6h,delta_test_mse_24h,delta_test_mse_32h,delta_vs_mu0_path_mse,delta_vs_mu0_path_mse_scene4h,delta_vs_mu0_path_mse_scene8h,delta_vs_mu0_path_mse_scene12h,delta_vs_mu0_mse_1h,delta_vs_mu0_mse_6h,delta_vs_mu0_mse_24h,delta_vs_mu0_mse_32h,delta_calibration_path_mse
0.0,2,128,7201,-1.3699355932744045e-05,2.2236077566521045e-05,-1.9487913526073253e-05,-4.384623183868036e-05,-6.503259815858649e-06,-0.00010580041805230422,6.24740818779213e-06,5.479539884714767e-06,-6.52874555172292e-06,1.732266117978883e-05,-1.7552976944435204e-05,-1.9355920890522373e-05,-5.419383974702752e-06,-7.631693113861588e-05,4.774549947323265e-06,4.645540662386555e-06,5.678287538998968e-06
0.0,2,128,7202,2.8256462282980066e-05,2.0107179520547844e-06,3.813623312818844e-05,4.4622435768697406e-05,-8.414456097801445e-06,-0.00011502920228343913,4.0581509855705e-05,9.285609909881426e-05,1.8736903653849155e-05,-5.640142116186329e-06,3.125350161007029e-05,3.0597351467663504e-05,-1.4815279315888096e-05,-0.00010621609482782158,3.6289783081949224e-05,9.057810068556711e-05,-3.621084529887089e-06
0.0,2,128,7203,9.65509345594081e-06,-7.121197908316595e-06,1.0995271543201308e-05,2.5091206732937715e-05,-6.508442523334504e-08,1.0242714081436927e-05,1.2997288703398208e-05,7.919440567434534e-06,1.3180172483276796e-05,-9.147857427382905e-06,1.1279139274464664e-05,3.7409235602748615e-05,-1.8072567482724685e-06,-9.669457714340891e-06,1.294887058322532e-05,7.623200816047277e-06,2.190708075287904e-05
0.0,2,128,7204,-1.4372468249639492e-05,8.403162469829834e-06,-1.4360422943352803e-05,-3.716014427539594e-05,-2.378789121450838e-06,-5.945627459214009e-05,8.636702644311024e-06,1.7580109579886673e-05,-9.98292808067842e-06,7.0780073110627175e-06,-1.7303488918362705e-05,-1.972330263473526e-05,-3.4244094343682246e-06,-5.02701931660449e-05,8.798279311346592e-06,1.7913558084292673e-05,4.876639905971106e-06
0.0,2,128,7205,-7.212434156121574e-06,4.342190660527358e-07,8.149525468656264e-06,-3.0221047003071988e-05,-1.5213814406949029e-05,3.4453780647734217e-06,-2.4015953763686687e-06,8.921358639112079e-06,-2.4811248070100896e-06,2.025349105461882e-07,1.571345809487661e-05,-2.3359367426453067e-05,-1.4710355397498196e-05,-8.737331664597195e-07,-5.215257438185192e-07,8.565731455613029e-06,-8.367559803817461e-07
0.04,0,32,7201,-1.5097732153749894e-06,7.475191181082798e-07,3.761961908348404e-06,-9.038800672581598e-06,8.274200660555455e-07,-4.100589644266239e-06,1.3005192998307651e-06,4.651919251271031e-06,-9.065773639728166e-07,5.652148212723749e-07,4.95560564992159e-06,-8.240552563112419e-06,1.4047252573693465e-06,-1.4299900142988318e-06,1.446979985066033e-06,4.767723822855383e-06,-6.325584514294989e-07
0.04,0,32,7202,2.6657194376588907e-06,2.869403663769175e-06,3.628330643935286e-06,1.4994240052722653e-06,-5.273333688549098e-06,-1.3834281278324312e-06,5.955029045276509e-06,8.569740902655542e-06,2.8881139166358744e-06,2.901301808021692e-06,3.09042325991729e-06,2.6726166819686392e-06,-5.2330623761486905e-06,-1.3714410659031492e-06,6.065739960937737e-06,8.515050375292766e-06,3.201085509517204e-06
0.04,0,32,7203,1.8077905913971358e-06,1.4668774848403121e-06,2.107235071023924e-06,1.849259218327171e-06,6.009866410638942e-07,1.7178062764096618e-06,2.9632719163154175e-06,1.6336643840928807e-06,2.071695172093631e-06,1.6002439524956897e-06,2.39987316672529e-06,2.2149683970599136e-06,8.958231827101858e-07,1.8880644563331412e-06,2.9564494248111534e-06,1.6077339420924108e-06,1.9918888392257065e-06
0.04,0,32,7204,6.48052645719772e-06,1.5329109147775523e-07,6.582435640788836e-06,1.2705852639326582e-05,-1.3464770479097168e-06,8.325546196896738e-09,1.1237627783151873e-05,7.684061070223419e-06,6.518675534772317e-06,1.7990816959715992e-07,6.461540150426801e-06,1.2914578284292995e-05,-1.2897574054039558e-06,2.2527222613323688e-06,1.0915190270394388e-05,7.769157470887686e-06,6.588451179754661e-06
0.04,0,32,7205,-6.382864657121843e-07,-1.376086703022781e-06,-1.957715404461103e-06,1.418942710347277e-06,-2.139220916163212e-06,-2.9357909518042406e-06,-1.0283275669550375e-07,2.9703454082914807e-07,-8.149485980499852e-07,-1.3602516943140648e-06,-2.3769027366677608e-06,1.2923086368318711e-06,-1.9745650545009003e-06,-2.9285032991879043e-06,-1.3191736698256103e-07,2.5902454171986996e-07,-1.012016886705843e-06
0.04,0,128,7201,2.837753684758958e-06,5.98714041985136e-07,1.9724108607387287e-06,5.942136151553077e-06,3.6723090401091785e-06,5.789638917822859e-06,1.4486456937636244e-06,1.4886538892766843e-06,2.5983238307558816e-06,4.048612852317198e-07,1.282412828981578e-06,6.1076973780543494e-06,2.884495720509532e-06,5.098971390523965e-06,1.1744330193907051e-06,1.365016497126139e-06,2.87685247304012e-06
0.04,0,128,7202,4.516941489719718e-07,-1.6212580367581562e-07,7.807816151353831e-08,1.4391300890781791e-06,-3.455222614041919e-08,-1.454914468901336e-07,2.8544609371660435e-07,7.363868721576647e-07,3.262123053985074e-07,-1.3113180124160562e-07,2.858734720924724e-07,8.238952453446555e-07,-1.0834572805770697e-08,-2.2487128569311963e-07,2.5544209148389587e-07,7.650263155091526e-07,3.856331266024592e-08
0.04,0,128,7203,-3.013292671267978e-07,1.2531861154842401e-06,-3.283312085847835e-07,-1.8288427082798636e-06,2.5220761162893652e-06,-2.6063078857145312e-06,7.447430456864745e-07,5.245135449559434e-07,-2.94614298059653e-07,1.1786402738078495e-06,-1.7928833357400887e-07,-1.8831948344128012e-06,3.0147151003315e-06,-1.0307378382773486e-06,7.466458954757671e-07,5.2326359030801e-07,-6.56997722054702e-07
0.04,0,128,7204,3.922385113449981e-06,1.0337141276143717e-06,1.188108419782161e-06,9.545332792953396e-06,-3.05137921777221e-07,6.682605513989414e-06,2.8601778265419164e-06,5.7352842178415024e-06,3.963997753266157e-06,1.022899439885347e-06,1.3939566746074972e-06,9.475137145305625e-06,-3.5202199858181935e-07,3.79055142776213e-06,3.2270754899297223e-06,5.6876029294114635e-06,3.887024450126086e-06
0.04,0,128,7205,1.1633051164206025e-06,3.8744473879545474e-07,-1.0957947596492888e-07,3.2120500864312547e-06,-9.041142468024788e-08,5.501087565473739e-07,1.7299952398881112e-06,1.905980310233934e-06,9.99137007982398e-07,3.350721938804276e-07,-1.0280325975095724e-07,2.765142089817724e-06,-6.659324271724267e-08,1.2659017190252844e-06,1.4538269874113596e-06,1.7458089292064924e-06,1.5387719468488753e-06
0.04,0,512,7201,-7.404124612778293e-08,-1.2714588210266316e-06,3.060229586090063e-07,7.433121240343172e-07,-1.885126631439221e-06,-3.967683806616051e-06,1.238368122100847e-06,3.151100792459766e-06,8.787619165505114e-07,-6.475600163207951e-07,2.4537183451208e-06,8.301274208515299e-07,-1.2479486282792589e-06,-1.1669886937891941e-06,1.4887067552190837e-06,3.2072766846726516e-06,-4.652456034748303e-07
0.04,0,512,7202,-1.0962034361204387e-06,5.524514398193552e-08,-4.081483412409024e-07,-2.935707111102363e-06,-5.08041671662407e-07,-6.708809513107932e-07,-1.4321037355940512e-07,3.362064012786193e-07,-9.78901715095349e-07,5.385274736707055e-08,-6.854801819863283e-07,-2.3050777106667894e-06,-1.4971534077823733e-08,-6.13772478698378e-07,-1.1458691973834879e-07,3.199244364501153e-07,-6.629973469291254e-07
0.04,0,512,7203,7.059652453254687e-07,1.0401600806959899e-06,2.374239450613256e-07,8.403117102190501e-07,-7.401439185335674e-07,2.2620024386910131e-07,2.0137464533774783e-06,7.641400171722867e-07,6.987348777777365e-07,9.333010752141455e-07,3.0641587597580274e-07,8.564876821432617e-07,-5.166602166365562e-07,3.0569591332026473e-07,1.9961951834199132e-06,7.319082258444711e-07,8.896596144313375e-07
0.04,0,512,7204,4.3270556736467783e-07,1.6125420101975856e-07,2.614962755273899e-07,8.753662255469392e-07,7.355780251896147e-07,-5.966823510099024e-07,6.780462791992526e-07,1.7756572727400538e-06,4.2359679423574724e-07,1.7733592969294233e-07,1.6360760948345525e-07,9.29846843530844e-07,7.129315273452075e-07,-9.191560289285517e-07,8.307759342354233e-07,1.7418862296934277e-06,4.06085679345667e-07
0.04,0,512,7205,-7.061771050491066e-06,-6.212506511472712e-06,-3.215945337548817e-06,-1.1756861302451616e-05,5.195901104278617e-07,-1.9207123451936425e-05,8.969639873365118e-07,2.252466720932217e-06,-6.072566804618254e-06,-6.174318664511099e-06,-7.764145326539201e-07,-1.126696721668974e-05,4.850804294365215e-07,-1.7984671660578845e-05,1.1386158292168865e-06,2.2479185302349705e-06,-5.3829699736709875e-06
0.04,1,32,7201,-4.6380291346230507e-07,-5.904143154287188e-07,-2.6639064737055303e-06,1.8629120487473338e-06,-6.125055201371577e-06,-5.152677393889917e-06,8.478249779833423e-06,9.163052944446272e-06,-3.845612369765266e-07,-6.135259804061793e-07,-3.529036937497687e-06,2.9888792069743e-06,-5.371814442384739e-06,-5.092858405399664e-06,9.041633291999244e-06,8.597722096152015e-06,-1.3566148386751358e-06
0.04,1,32,7202,-2.798860198864649e-06,-1.1865870227322991e-05,1.120875118358058e-06,2.348414512371149e-06,-1.7829193003129342e-06,-1.5114057501097733e-05,1.194077609976323e-06,3.1901325135848134e-06,-3.734404282005976e-06,-1.3621851369026629e-05,8.653564445055431e-07,1.5532820785031613e-06,-1.6206029968629682e-06,-1.7327592703693178e-05,7.420395714460385e-07,3.15528360621784e-06,-3.2461194720970806e-06
0.04,1,32,7203,6.190805623965969e-06,4.983170599778624e-07,-3.194613532367743e-06,2.126871334428768e-05,6.453701815780093e-07,-8.412931724044448e-07,1.947796676852411e-06,4.2981413596583235e-06,6.1138053750667804e-06,4.049076176750797e-07,-3.4289785644793777e-06,2.1365487072004646e-05,1.2098751605646884e-06,-4.80537608618943e-06,1.709975730935898e-06,4.104413249074282e-06,6.616812312015374e-06
0.04,1,32,7204,3.885392802329367e-06,-1.7699863285628673e-06,1.4638607410416755e-05,-1.2124426748660573e-06,-1.193759504521108e-05,7.915154865552722e-06,7.410334420437819e-06,3.5590134131362406e-06,3.3680297099728316e-06,-1.0891589290852014e-06,1.3737472075952759e-05,-2.5442240169490636e-06,-9.94231766459571e-06,5.221382806422154e-06,7.834444444873301e-06,3.8453055142571894e-06,3.1205875689523793e-06
0.04,1,32,7205,-1.6080173866038234e-06,3.4254928658124413e-06,7.623390750019802e-07,-9.011884100625783e-06,-4.305479937058432e-06,-5.492422130011997e-06,8.523189535193624e-07,1.4979182310949425e-06,-1.1933152364744145e-07,3.996443028845192e-06,-2.742544422309052e-07,-4.080183157556614e-06,-3.3061813177386844e-06,-2.3065966739820337e-06,7.643924497106938e-07,1.3253860889946534e-06,-2.071835558332838e-06
0.04,1,128,7201,-7.164973470613189e-07,9.694581484381024e-08,-4.0151111102717076e-07,-1.8449267450005961e-06,-3.904912989932674e-06,4.786631287631007e-07,-7.291703168522956e-08,3.8069115659498317e-07,-6.68889483402165e-07,1.592591599689313e-07,-4.375184003014051e-09,-2.161552426172412e-06,-2.9374681361759726e-06,2.5243415351146006e-07,-2.4556804245038313e-07,4.1666392777139797e-07,-1.9951127309963826e-07
0.04,1,128,7202,-1.8649329281295187e-06,-1.7236127121320315e-06,-2.265663999968283e-06,-1.6055220722882959e-06,-1.9806500491890153e-06,-1.112175891769063e-05,6.57320658127679e-07,8.35293296131859e-08,-1.9049383549859732e-06,-1.3176264508530243e-06,-2.8534672331626006e-06,-1.5437213809422947e-06,-1.7807631495286525e-06,-1.1220726867635482e-05,6.104392447503859e-07,9.208511196672617e-08,-2.4505790705752145e-06
0.04,1,128,7203,4.94282739328726e-06,9.255129004885555e-07,6.1794660162612074e-06,7.72350326311191e-06,8.545472430473045e-06,2.1723927922285852e-06,7.0189356946749395e-06,4.192760434058448e-06,4.99650862893485e-06,1.0155445881550979e-06,6.337337809122847e-06,7.636643489526602e-06,6.889719217098094e-06,3.8545128068090395e-06,7.19554839547149e-06,4.389103044863318e-06,5.032460310413188e-06
0.04,1,128,7204,-5.928511801934371e-07,1.4613865955633877e-06,7.106471679329e-06,-1.0346411815472726e-05,-5.213827434786601e-06,-2.9243068516333643e-06,2.6282655824700675e-06,1.2871570184591798e-06,-6.099979623183253e-08,1.8350960508515412e-06,5.6888627650978046e-06,-7.706958204644842e-06,-4.191533214807712e-06,-2.0433687973076788e-06,2.9289936025960636e-06,1.3758916937004332e-06,1.672048576870479e-07
0.04,1,128,7205,3.2917442932352183e-06,2.4658911915267684e-06,-4.629579918730793e-06,1.2038921606909517e-05,3.5588117267605916e-06,6.468930480766689e-06,2.1644215493599417e-06,5.357638881116332e-06,1.854471153619689e-06,2.3334358882965354e-06,-3.875116559510868e-06,7.105094132073395e-06,3.464047645094379e-06,1.195949497668249e-06,2.015684338835307e-06,4.989208159760279e-06,3.3468202524712426e-06
0.04,1,512,7201,2.687668789210884e-07,-1.3739062113218457e-06,1.99447140900212e-06,1.8573543908288227e-07,1.3823265319438667e-06,-2.569345283254254e-06,5.477240152460244e-07,7.465332732188736e-07,3.7389841775551274e-07,-1.0967639257512868e-06,2.3196064969795848e-06,-1.0114731796175867e-07,2.952008645749889e-06,-2.081252036503676e-06,4.6366224592600337e-07,6.928305145333104e-07,6.733648238694905e-07
0.04,1,512,7202,4.0790111694542905e-06,1.2267386840589668e-06,2.255743966786774e-06,8.75455085751686e-06,4.4595340631022875e-06,9.575930752144576e-06,1.7581620122685427e-06,1.6471575401138664e-06,3.102147414524448e-06,1.645505647683735e-06,7.63024620222514e-07,6.897911975667093e-06,4.738133526767208e-06,6.852457455861021e-06,1.4052431364410557e-06,1.5732733915788197e-06,2.0497507221082373e-06
0.04,1,512,7203,-4.2777641772033005e-06,4.667116429720006e-07,-1.4152830791225876e-06,-1.1884721095459586e-05,-9.469550293766948e-07,2.2365749154551647e-07,-1.043777273996248e-06,1.1422441212265298e-06,-4.595268289203016e-06,-5.1256582250360585e-08,-1.605475645472218e-06,-1.2129072639886468e-05,-4.906792554014128e-07,-3.0675049745919883e-06,-1.0475992429905239e-06,1.1402398167677148e-06,-3.798160186495856e-06
0.04,1,512,7204,4.769400855904413e-07,-1.5009811338958438e-06,2.129495221308425e-06,8.023061693586886e-07,-3.2919382994174855e-06,-1.1477109591780934e-06,4.931345475631444e-06,3.5166495178040836e-06,-3.767231197676717e-07,-1.6499142830621967e-06,3.0386314969845385e-06,-2.518886573225359e-06,-3.451821349363606e-06,-7.154171079826261e-06,5.284195311260662e-06,3.787475218254019e-06,9.58676736980866e-07
0.04,1,512,7205,6.346689376906915e-06,-1.2128699381006155e-06,1.0575998056058453e-06,1.9195338263215678e-05,-4.669042261697619e-06,5.3645782581343e-06,7.485383088784775e-06,9.702498714991465e-06,5.3110396786448155e-06,-3.7312365101968505e-07,1.1525432760174508e-06,1.515369941093668e-05,-3.3039674748365344e-06,2.882160263028341e-06,7.315813918917853e-06,9.107808154762506e-06,6.50956402805503e-06
0.04,2,32,7201,1.8751611619074408e-05,6.131418545360411e-05,-1.0030329171594344e-05,4.970978575213891e-06,7.40813994359402e-06,5.106545175529234e-06,1.7348268566071763e-05,1.7114627468223876e-05,1.8481514678725733e-05,6.224309729423004e-05,-1.0146844941777299e-05,3.3482916837244717e-06,3.796277803423334e-06,-1.217036076963247e-07,1.7068021740728006e-05,1.6929563284809696e-05,2.3576918109792597e-05
0.04,2,32,7202,2.4231812047368576e-05,3.675238211518382e-05,1.7771160311107464e-05,1.817189371581488e-05,-1.0637314404843279e-05,6.004436394803879e-05,2.2347018449321533e-06,3.4600230341425703e-06,2.8902164295312586e-05,3.92080370132488e-05,2.4079989667648818e-05,2.3418466205040107e-05,1.9500039344423715e-06,6.358880017976064e-05,4.062243648366671e-06,3.404714459636063e-06,3.1800139551201555e-05
0.04,2,32,7203,5.951582616669018e-06,9.579643064539997e-06,-8.7625063168284e-05,9.590016795375019e-05,5.895565519092871e-05,-8.831647244966767e-05,3.4669798353343154e-05,5.133800301570951e-05,1.2562604355825488e-05,1.5903876948541067e-05,-7.791091395484062e-05,9.969485007377604e-05,6.446378287852936e-05,-4.3000333509859935e-05,3.706383088786819e-05,5.195174418132976e-05,-7.054092996307965e-07
0.04,2,32,7204,5.3188519699839606e-05,4.359451050715878e-05,0.00010153975205002153,1.4431296542338073e-05,6.911488593360849e-05,1.601770787436861e-05,1.7274767943419424e-05,1.1540596155405845e-05,5.211505325360537e-05,3.974035521654933e-05,9.813274609542908e-05,1.847205844883763e-05,8.380426329055296e-05,1.3632381577056377e-05,1.521375742868232e-05,1.1806783309966483e-05,5.096148301531305e-05
0.04,2,32,7205,3.444733663772416e-05,8.087104153441452e-06,-3.6044858225974495e-05,0.00013129976398570508,-6.290749708075076e-06,4.095994032077277e-05,1.6440063168234043e-05,3.760522814607757e-05,3.3573664002498234e-05,7.974525294022962e-06,-3.508069618321532e-05,0.00012782716289668703,-7.154408387746898e-06,3.817803628021748e-05,1.5052700947715553e-05,3.919570890038842e-05,2.4950827715934567e-05
0.04,2,128,7201,6.54874561737415e-06,1.3208032796864413e-06,2.0867683075870107e-05,-2.5422495034338813e-06,7.801600404935827e-06,1.1271304077095298e-05,8.393909607273169e-07,1.3690008715294531e-05,6.94295405630731e-06,4.330585634618698e-06,1.6783317253375522e-05,-2.8504071907230763e-07,1.931950321806112e-05,1.3607354259885926e-05,8.887547692590824e-07,1.3334090858634411e-05,6.056994175695704e-06
0.04,2,128,7202,5.467395957219458e-05,-8.057621518269692e-06,1.547677854778825e-05,0.00015660272168706562,9.59177940791471e-07,6.363417757587753e-05,3.772569537978507e-05,2.5282441218056875e-05,5.512309653168638e-05,-7.982342192343147e-06,1.1253768676747283e-05,0.00016209786311065499,4.7077899041842244e-06,5.947812673732429e-05,3.2676180569189934e-05,2.3283035092565966e-05,5.6804085133670655e-05
0.04,2,128,7203,-6.292840228072638e-09,2.9083432690809458e-06,-1.2570913588360287e-05,9.64369179859599e-06,-2.136455953612778e-06,-9.080107260972525e-06,1.2100289947591459e-06,2.0251694864889796e-06,3.4794428134126044e-06,6.051044397159201e-06,-1.1868041900403161e-05,1.6255325943481785e-05,-4.562115526879734e-06,-2.9464711057698074e-06,-1.2125528612849936e-06,1.54308592403175e-06,1.1658911448293036e-05
0.04,2,128,7204,-4.74097245822141e-05,-9.057441629559994e-06,-3.624478295751908e-05,-9.692694915956236e-05,5.163061027926071e-06,-7.909184954881486e-05,-4.482579860178634e-06,2.092895578904635e-06,-5.573968878629465e-05,-1.780337991112479e-05,-3.32991092411953e-05,-0.00011611657720656389,-2.7648430144069898e-06,-0.00010938260833858025,-7.374612262665032e-06,2.287224832611762e-06,-6.0928888205754195e-05
0.04,2,128,7205,1.3687389847426117e-06,3.5382653911781962e-06,-6.07755229129316e-06,6.645503854342365e-06,-9.102256790798676e-06,-8.96102277627396e-06,3.0094693503322518e-06,1.174785910358838e-05,1.3848467750452195e-06,3.175478841039913e-06,-5.133281273675509e-06,6.112342757771262e-06,-8.080873644631589e-06,-1.533781556443187e-05,2.8116333024044402e-06,1.19653895864012e-05,-2.884661469618969e-06
0.04,2,512,7201,1.9466260459555934e-05,2.1430267485114804e-05,3.0058292118911867e-05,6.910221774640048e-06,1.0269030255212648e-05,1.2675314279304156e-05,3.759249910840069e-05,8.608087178892045e-06,2.313806609649552e-05,1.7998106916949255e-05,4.4574912020943213e-05,6.8411793515940835e-06,6.073580431524779e-06,6.222121805225228e-06,3.58195972374441e-05,8.575282693976767e-06,2.342858887315535e-05
0.04,2,512,7202,3.601264358868775e-06,-5.714429162954936e-06,-8.856939834392397e-06,2.537516207395344e-05,1.5487609971950346e-06,-1.8509938370745577e-06,6.141257826494727e-06,1.2315462647903908e-05,1.1055780239561533e-06,-6.455478283166103e-06,-1.788432322215204e-05,2.7656535577186608e-05,-5.440973454104879e-06,-2.6954009467446067e-05,5.800601550136672e-06,1.1825819168634705e-05,4.140396481467582e-06
0.04,2,512,7203,4.171408027293672e-06,2.7994284286917727e-06,-5.669992317127153e-06,1.538478797031683e-05,1.8972615809913825e-05,-2.5651081965363115e-06,1.2649271098124845e-06,4.712643127468874e-06,3.3935262651623454e-06,-1.84380821444783e-07,-3.0219203718024724e-06,1.3386879988734286e-05,2.408288259131454e-05,2.4076777715727787e-06,2.784193159996999e-06,4.924208314061745e-06,-7.335834965926068e-06
0.04,2,512,7204,2.5384416478915848e-05,9.000025689505104e-06,3.215782549614507e-05,3.499539825109737e-05,1.6408350676992093e-05,4.354038659393211e-06,3.947950497711322e-05,3.4795714277870827e-05,1.7775180957869164e-05,6.0640308286638285e-06,3.141055023443341e-05,1.5850961810510236e-05,1.1287492648553688e-05,-7.275391896440549e-06,3.051774475311517e-05,3.268617738826763e-05,1.550355831979539e-05
0.04,2,512,7205,-3.2277860787975014e-05,-1.2930701722528581e-05,-3.237267495284938e-05,-5.1530205688547076e-05,-1.862776728105142e-05,-0.00011890484022375469,1.7922891140771495e-05,9.021790662848054e-06,-3.3043261682090576e-05,-1.6826221353546818e-05,-2.8150116110636744e-05,-5.415344758208816e-05,-2.7592460641699646e-05,-0.00013707441521998792,1.6310520861743443e-05,8.185156770194779e-06,-5.0234645535156275e-05
